,distance_to_market___ethiopia_2015,inputs,land_surface___ethiopia_2015,model,number_of_hired_workers___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,prevent_damage___policy___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015
12,-0.17114464669059554,Highly correlated all,0.30170820814457755,"Lasso_clustered_number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015_1",0.32965780868776334,-0.052301038508251324,0.0138456767561611,-0.0465307278537116
13,-0.12753529732249871,Highly correlated all,0.18273005136862447,"Lasso_clustered_number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015_2",0.06282324898990801,0.04520173481601475,0.12040160624025749,-0.06588124705758636
14,-0.30403772498950354,Highly correlated all,0.045176046012103364,"Lasso_clustered_number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015_3",0.2852055963351704,-0.03515006716553137,0.16057332264080293,-0.09907536301875566
15,,Highly correlated policy,,Lasso_Highly correlated policy,0.27254684894779413,0.0638311058226269,0.08282577615154016,0.06562291770741
16,,Highly correlated policy,,Lasso_Highly correlated policy_lower_bound,0.22550631049656975,0.012481434971025107,0.033447850383439434,0.013149026491018824
17,,Highly correlated policy,,Lasso_Highly correlated policy_upper_bound,0.3195873873990185,0.11518077667422869,0.13220370191964087,0.11809680892380117
18,,Highly correlated policy,,Lasso_clustered_0_lower_bound,0.5181527937012929,-0.09588089716780086,-0.06687255861859226,0.09870012956840138
19,,Highly correlated policy,,Lasso_clustered_0_upper_bound,0.9216476442330119,0.15863070595774081,0.1504243788714347,0.3792061157246909
20,,Highly correlated policy,,Lasso_clustered_1_lower_bound,0.11262363130285924,-0.15301974861471768,-0.11549009953320068,-0.2366264840778924
21,,Highly correlated policy,,Lasso_clustered_1_upper_bound,0.5961468647862582,0.06066386331903782,0.10463916941800121,0.012855766239530136
22,,Highly correlated policy,,Lasso_clustered_2_lower_bound,-0.217193679199719,0.014313228784174015,0.044477974285350996,-0.13146531330170036
23,,Highly correlated policy,,Lasso_clustered_2_upper_bound,0.21710691285433292,0.1854368421224021,0.18567869080655167,0.07412681418566053
24,,Highly correlated policy,,Lasso_clustered_3_lower_bound,0.23246864969584352,-0.20151644200755042,0.05796429797638447,-0.10060174644865151
25,,Highly correlated policy,,Lasso_clustered_3_upper_bound,0.3404855106794797,0.016126848663786053,0.3080980921654961,0.14526176145618452
26,,Highly correlated policy,,"Lasso_clustered_number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015_0",0.7199002189671524,0.03137490439496997,0.04177591012642121,0.23895312264654614
27,,Highly correlated policy,,"Lasso_clustered_number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015_1",0.35438524804455873,-0.04617794264783992,-0.005425465057599735,-0.11188535891918114
28,,Highly correlated policy,,"Lasso_clustered_number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015_2",-4.338317269303449e-05,0.09987503545328806,0.11507833254595133,-0.028669249558019923
29,,Highly correlated policy,,"Lasso_clustered_number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015_3",0.2864770801876616,-0.09269479667188218,0.1830311950709403,0.022330007503766503
